host,gaia_teff,gaia_status,gaia_distance_pc,simbad_sptype,simbad_parallax_mas,simbad_status,stellar_param_flags,stellar_param_verified_clean,stellar_param_could_be_checked
TIC_382074000,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.807,Success,,False,False
TIC_325338668,4604.72021484375,Success,468.091796875,G8/K0III,2.2213,Success,,True,True
TIC_84175358,3652.47900390625,Success,179.96170043945312,,,Not found in SIMBAD,,True,True
TIC_464685711,3381.255615234375,Success,127.77069854736328,,,Not found in SIMBAD,,True,True
TIC_58583881,3406.860595703125,Success,94.72969818115234,,10.6217,Success,,True,True
TIC_155420646,3376.99267578125,Success,164.4320068359375,,,Not found in SIMBAD,,True,True
TIC_363274545,3602.58642578125,Success,163.61129760742188,,,Not found in SIMBAD,,True,True
TIC_334138196,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.8355,Success,,False,False
TIC_206591925,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.351,Success,,False,False
TIC_303277487,6005.17724609375,Success,160.9521942138672,K7,6.341,Success,TIC Teff (3825K) vs Gaia teff_gspphot (6005K) disagree by 57%,False,True
TIC_339260231,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K4III,1.8758,Success,,True,True
TIC_56437876,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_148307484,3290.204345703125,Success,129.45550537109375,,,Not found in SIMBAD,,True,True
TIC_84532958,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.0394,Success,,False,False
TIC_149594966,3322.7724609375,Success,113.21739959716795,,,Not found in SIMBAD,,True,True
TIC_32344300,4760.88427734375,Success,215.26589965820312,,,Not found in SIMBAD,,True,True
TIC_425931249,4314.4375,Success,816.3997802734375,,1.1048,Success,,True,True
TIC_97884635,4713.1572265625,Success,805.9102783203125,,1.1819,Success,,True,True
TIC_469979458,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,M1III,2.0114,Success,,True,True
TIC_158622711,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K5III,2.2261,Success,,True,True
TIC_229805551,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,sdB,2.0215,Success,,False,False
TIC_148080282,4159.0849609375,Success,140.4376983642578,,7.0942,Success,,True,True
TIC_266995429,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K1III,2.1647,Success,,True,True
TIC_318516988,5810.97265625,Success,333.93548583984375,,,Not found in SIMBAD,,True,True
TIC_304484734,5823.568359375,Success,429.6418151855469,,,Not found in SIMBAD,,True,True
TIC_144070566,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,M4III,1.528,Success,,True,True
TIC_260753626,4751.06201171875,Success,592.609375,K2III,1.8363,Success,,True,True
TIC_294297441,4798.20361328125,Success,497.8965148925781,,2.0257,Success,,True,True
TIC_128697557,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_402742149,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.2649,Success,,False,False
TIC_303901048,3658.517578125,Success,258.860107421875,,,Not found in SIMBAD,,True,True
TIC_374823554,4945.74267578125,Success,118.7584991455078,K3.5IVe,8.0818,Success,,True,True
TIC_421937394,5882.60107421875,Success,112.11830139160156,G0,8.8892,Success,,True,True
TIC_234495456,2945.241943359375,Success,37.776100158691406,M4.9,26.6316,Success,,True,True
TIC_213892434,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,G5,1.4715,Success,,True,True
TIC_101949434,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,G8III/IV,4.1602,Success,,True,True
TIC_401838575,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,M5.5e,25.9492,Success,,True,True
TIC_69880428,5144.76123046875,Success,132.51710510253906,K0Ve,7.4652,Success,,True,True
TIC_411982793,7382.75048828125,Success,389.335205078125,,2.7747,Success,,True,True
TIC_303703388,7391.51416015625,Success,243.3085021972656,F0III,4.191,Success,,True,True
TIC_148951947,6075.1689453125,Success,131.0791015625,F8/G0V,7.5865,Success,,True,True
TIC_197766496,4651.642578125,Success,512.79638671875,,1.8481,Success,,True,True
TIC_382254933,7150.19140625,Success,167.67239379882812,F2III(m),6.0881,Success,,True,True
TIC_325388104,6769.15869140625,Success,237.19970703125,F2IV/V,4.0579,Success,,True,True
TIC_276452267,6012.33544921875,Success,141.7646026611328,G0(V),7.0088,Success,,True,True
TIC_136264102,7217.673828125,Success,484.9294128417969,,2.1759,Success,,True,True
TIC_381857833,7510.87353515625,Success,185.9402008056641,A9V,5.3048,Success,,True,True
TIC_121250827,5931.30126953125,Success,141.9539031982422,F7/8V,7.0128,Success,,True,True
