host,in_skew,in_kurt,out_skew,out_kurt,skew_diff,kurt_diff,n_in,n_out,wavelet_e1,wavelet_e2,wavelet_e3,status
TIC_88692598,-0.1878469707016723,-0.07544856932100963,-0.08299737126589642,-0.031760994105709095,-0.10484959943577589,-0.043687575215300534,62.0,1042.0,0.5435954372278994,0.2700920210442854,0.18631246726702996,ok
TIC_38825265,-0.10315163511073142,-0.6382785103942883,-0.10526964505012096,0.006022276883665967,0.0021180099393895424,-0.6443007872779543,80.0,818.0,0.4483040086792,0.2692389497520789,0.28245701488643166,ok
TIC_279401253,-0.21657881688049752,-1.161778643631643,0.054761674133906674,0.07542858644168593,-0.27134049101440416,-1.237207230073329,109.0,16162.0,0.10186882314962556,0.8831022335791875,0.015028893914885348,ok
TIC_231949697,-0.08285255274689945,0.23886749890243397,0.020895791081517283,-0.06522191553884849,-0.10374834382841674,0.30408941444128246,555.0,13167.0,0.487335505858849,0.2035954230624839,0.3090687918485334,ok
TIC_434398831,0.04639611321451261,-0.04679073278620827,0.37718647161616975,-0.5301839423584966,-0.33079035840165716,0.4833932095722884,330.0,2110.0,0.8256167146551378,0.09761195466627763,0.07677133054095657,ok
TIC_77319217,,,,,,,,,,,,too few in/out points
TIC_34085383,0.18965419712681553,-0.4384122855639263,0.14542178506317488,0.3270863188053319,0.04423241206364065,-0.7654986043692582,37.0,1039.0,0.2925655692236927,0.4362547034675874,0.2711796573874534,ok
TIC_249022743,0.4146417136295142,-0.15636189033189662,-0.058851523262146384,0.16095134714780457,0.47349323689166056,-0.3173132374797012,52.0,984.0,0.31009968218128675,0.2998851397187413,0.3900151067193023,ok
TIC_88785435,-0.15293846721682847,-1.1401947959605583,0.35372253699373746,-1.0090050768526215,-0.5066610042105659,-0.13118971910793675,46.0,650.0,0.1328449707152243,0.25466547024773617,0.6124895567965966,ok
TIC_38828280,0.4916471865937431,-0.3339567758351798,0.04036120589012658,0.321827973945223,0.45128598070361653,-0.6557847497804028,27.0,1048.0,0.5926195936973484,0.22290363128686788,0.18447673959372518,ok
TIC_52059926,0.9408826575582802,2.8147830560736162,0.024841071922278236,0.049091657757278195,0.9160415856360019,2.765691398316338,63.0,15063.0,0.6301641195800154,0.3303922858247976,0.039443559371945984,ok
TIC_290487717,,,,,,,,,,,,too few in/out points
TIC_437041147,-0.04617640544886951,-0.6635034104248776,0.09830707444849866,0.2902103138134011,-0.14448347989736818,-0.9537137242382787,73.0,3152.0,0.521331593275183,0.2649185684956154,0.21374964500139365,ok
TIC_77552382,,,,,,,,,,,,too few in/out points
TIC_349520724,-0.5210642431239851,0.23116507068623493,-0.011357003529401968,0.12266603161729339,-0.5097072395945832,0.10849903906894154,28.0,1095.0,0.5214663282058141,0.21684470177211151,0.26168890428800773,ok
TIC_257060897,1.159832675939582,1.2407275744069572,0.059415551718117895,0.07092878564364113,1.1004171242214642,1.169798788763316,525.0,17872.0,0.16571401779734704,0.24993000979325333,0.5843559559716904,ok
TIC_147027702,-0.0014357375555224415,0.10810677228085241,0.05898734400291064,0.11702847344881429,-0.06042308155843308,-0.00892170116796187,116.0,15252.0,0.6720735561783946,0.2292100469313445,0.09871583071946761,ok
TIC_390586021,0.13440642529924957,0.1250819711996547,-0.15339627926703836,-0.3058572592671278,0.2878027045662879,0.4309392304667825,90.0,766.0,0.3220095472246646,0.23217432111447894,0.4458160752688551,ok
TIC_62895484,0.3048019843665921,-0.2550856956537091,0.05326008040416803,0.07300689500668067,0.2515419039624241,-0.32809259066038976,104.0,2715.0,0.41176320763815755,0.3456323865225971,0.24260433794354888,ok
TIC_294329732,0.15061149836371132,-0.5135754546816678,-0.09306109673804369,-0.24442822486031845,0.243672595101755,-0.2691472298213493,35.0,1064.0,0.5143222624443538,0.21265570991665245,0.27302182830622007,ok
TIC_241249530,0.2597782932851557,-0.016205135854545638,-0.006147797421244978,-0.025347062271461773,0.2659260907064007,0.009141926416916135,354.0,11854.0,0.45285620366004936,0.3880886138696879,0.1590548879990317,ok
TIC_445839811,,,,,,,,,,,,too few in/out points
TIC_356227008,0.04709922716426514,-1.0755767896331394,0.06276468060607383,0.05511964360305788,-0.015665453441808697,-1.1306964332361973,27.0,793.0,0.4806602620964297,0.3232374213417801,0.19610228844896335,ok
TIC_86380416,-0.0242592913975036,-0.4681876354145862,0.03711864781819481,0.010137392096265074,-0.06137793921569841,-0.47832502751085126,76.0,16232.0,0.7176523848275266,0.18373352097304949,0.09861376795047913,ok
TIC_87422071,0.11940418041407198,0.030295986658951612,0.007189771755821139,-0.003029736787568904,0.11221440865825084,0.03332572344652052,134.0,15321.0,0.8359882957983403,0.13091026696694177,0.03310134359043703,ok
TIC_9344899,-0.1623555385753265,-0.1353907861906949,0.018019948572262454,0.043335911815233,-0.18037548714758894,-0.1787266980059279,403.0,26645.0,0.7312424067574421,0.2346909968458692,0.03406658271036497,ok
TOI-1052,0.1697807000305737,-0.016118935476446605,0.0577325465475072,0.11297278252089482,0.11204815348306649,-0.12909171799734143,206.0,17672.0,0.6773045500748837,0.3008951878047788,0.021797436894081482,ok
TOI-1080,0.2802738251573818,0.16819126254717576,-0.007506316918369251,0.0438995284710173,0.28778014207575103,0.12429173407615846,208.0,16496.0,0.6444739724083192,0.28278024435164,0.07274574955403118,ok
TOI-1075,0.008354915867397523,0.43018985597053927,0.029965742573903335,0.03247656400268406,-0.021610826706505812,0.3977132919678552,851.0,11113.0,0.34693680005604227,0.1790934326163511,0.47396960013506245,ok
TOI-1064,0.16173267066026872,0.3064742808510701,0.09809173261830323,0.19108376340451194,0.0636409380419655,0.11539051744655815,105.0,16279.0,0.7923766173529583,0.1713207897178533,0.0363019808729898,ok
TOI-1062,-0.09450868803242943,0.6386005418010017,0.06717064365499967,0.10597607679963739,-0.1616793316874291,0.5326244650013643,228.0,17591.0,0.5617621435930934,0.3340407544048164,0.10419549903653114,ok
TOI-1054,-0.02368261787896554,-0.4755361737567183,0.17558867012031734,0.37055985116817913,-0.19927128799928287,-0.8460960249248974,205.0,16580.0,0.5140324799146813,0.43869391684736564,0.04726928244590697,ok
TIC_237913194,0.13075039975120895,0.31453357146134353,-0.009195187659590364,0.0012842829596610983,0.13994558741079932,0.31324928850168243,1859.0,83200.0,0.42756712653719176,0.46667088215998714,0.10576178530964002,ok
