host,tic_id,rad,e_rad,mass,e_mass,Teff,logg,e_logg,rho,e_rho,lum,lumclass,priority,contratio,numcont
TOI-1694,396740648,0.81833,0.0476885,0.845,0.108916,5058.0,4.53907,0.0868076,1.54195,0.388781,0.394881457,DWARF,0.00204275828,0.008085548,111
TOI-1695,422756130,0.516105,0.0153254,0.513745,0.0202836,3575.0,4.72334,0.0086441,3.73709,0.185562,0.0391990021,DWARF,0.00395963946,0.03433334,408
TOI-1696,470381900,0.280475,0.00857285,0.254505,0.0202442,3181.0,4.94798,0.00806131,11.5349,0.138329,0.00725667551,DWARF,0.000933492265,0.11020676,363
TOI-1710,445805961,0.976913,0.0475477,1.01,0.128534,5675.0,4.46268,0.0785564,1.08331,0.23274,0.891805,DWARF,0.005136744,0.009042111,89
TOI-1716,14336130,1.23517,0.0676985,1.065,0.138125,5878.6,4.28196,0.0843745,0.565152,0.13404,1.64152217,DWARF,0.00305490778,0.006115131,103
TOI-1718,257241363,0.939285,0.0550377,0.93,0.117997,5378.0,4.46096,0.0838514,1.12225,0.266795,0.6649247,DWARF,0.0051111,0.0055379523,112
TOI-172,29857954,1.78866,0.0928794,1.031,0.12794,5759.0,3.94627,0.0775554,0.180168,0.0394607,3.170572,DWARF,0.000459225674,0.0102654491,87
TOI-1722,85242435,1.09414,0.0497035,1.162,0.158244,6137.0,4.42513,0.0813241,0.887137,0.197369,1.5298996,DWARF,0.00269913231,0.00633655954,76
TOI-1723,71431780,1.08725,0.0521105,1.035,0.126798,5777.0,4.38035,0.0725402,0.805279,0.162719,1.18622386,DWARF,0.00366811268,0.00280956738,63
TOI-1728,285048486,0.633154,0.0187025,0.614339,0.0202201,3907.0,4.62346,0.011365,2.42036,0.135027,0.08415639,DWARF,0.00289903278,0.0188831277,69
TOI-1732,470987100,0.632571,0.0187445,0.613891,0.0202526,3876.0,4.62394,0.011413,2.42529,0.135798,0.08136701,DWARF,0.00174171769,0.020530859,64
TOI-1736,408618999,1.4081,0.0701984,1.0,0.130334,5656.0,4.1408,0.0786724,0.35818,0.0763678,1.82809317,DWARF,0.000352964038,0.005434655,177
TOI-1739,159418353,0.780707,0.0535628,0.78,0.094964,4814.0,4.54519,0.0935899,1.63919,0.44716,0.2949139,DWARF,0.00662746141,0.000390411878,57
TOI-1742,219857012,1.15853,0.0562261,1.02,0.126497,5707.0,4.31886,0.0771701,0.655969,0.140197,1.28273618,DWARF,0.0149312261,0.000206339668,56
TOI-1743,219860288,0.320089,0.00941708,0.299659,0.0201029,3281.0,4.90415,0.00361744,9.13724,0.192619,0.0106969783,DWARF,0.009983843,0.008718848,68
TOI-1744,229455001,1.13948,0.0513442,1.181,0.164577,6179.0,4.3969,0.0828215,0.798223,0.1795,1.70523608,DWARF,0.0110381255,0.0383923724,194
TOI-1749,233602827,0.561356,0.0165649,0.555356,0.0202155,3959.0,4.68416,0.00982267,3.13947,0.163855,0.0697450638,DWARF,0.00457908725,0.09147449,103
TOI-1750,237099296,0.768675,0.0541206,0.767,0.0928027,4765.0,4.55138,0.0929274,1.68876,0.453951,0.274429917,DWARF,0.00411515357,0.00103120378,43
TOI-1751,287080092,1.26841,0.0553769,1.152,0.1689,6114.0,4.293,0.0838503,0.56451,0.127603,2.02542877,DWARF,0.0108332885,0.000536505948,38
TOI-1752,287139872,0.526987,0.0156406,0.524085,0.0202784,3652.0,4.71387,0.00897414,3.58098,0.180488,0.0445059,DWARF,0.004244292,0.002007397,47
TOI-1753,289580577,0.959022,0.0498041,1.015,0.131911,5700.0,4.48088,0.0795665,1.15075,0.255296,0.874684155,DWARF,0.004120038,0.0137795145,41
TOI-1756,364074068,0.562607,0.0165054,0.556454,0.0201546,3756.0,4.68309,0.00975251,3.12474,0.162042,0.0567554161,DWARF,0.00314575783,0.004355259,111
