host,pool,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
TIC_325210265,main,1.046,0.0,17.557901,63.779999999999994,6.388800037900418e+18,0.0,0.0
TIC_2027025151,main,1.016,0.0,18.952887,29.52,6.509052795701337e+18,0.0,0.0
TIC_183636775,main,1.793,1.0,11.394402,19.56,4.984631910074335e+18,1.0,1.0
TIC_180999530,main,1.055,0.0,9.130566,26.58,4.989519965109584e+18,0.0,0.0
TIC_139763242,main,1.112,0.0,9.322119,7.62,6.465486197934745e+18,0.0,0.0
TIC_401842610,main,0.967,0.0,10.195867,11.46,4.954395138448398e+18,0.0,0.0
TIC_123370805,main,,,,,,,
TIC_123318213,main,5.005,0.0,11.577004,18.78,4.969025480684912e+18,0.0,1.0
TIC_201310151,main,6.746,0.0,14.884425,18.42,4.918400117051128e+18,0.0,1.0
TIC_2055563216,main,1.015,0.0,17.240269,38.88,6.524904252979345e+18,0.0,0.0
TIC_331442020,main,1.37,0.0,16.534966,9.0,4.037826715023138e+18,0.0,0.0
TIC_471015391,main,0.989,0.0,16.251293,26.82,6.399643112336891e+18,0.0,0.0
TIC_156084350,main,,,,,,,
TIC_615991515,main,1.043,0.0,16.8503,67.32000000000001,4.909162600174231e+18,0.0,0.0
TIC_206652542,main,0.922,0.0,9.069708,15.12,4.717008275908031e+18,0.0,0.0
TIC_352480662,main,1.13,0.0,16.380882,11.34,6.371273788195201e+18,0.0,0.0
TIC_158536414,main,0.924,0.0,9.191287,38.16,4.928045479727301e+18,0.0,0.0
TIC_313002372,main,0.783,0.0,6.009426,30.54,6.72294330522188e+18,0.0,0.0
TIC_215256975,main,0.93,0.0,12.126623,4.0200000000000005,5.048591089873453e+18,0.0,0.0
TIC_632226222,main,1.055,0.0,19.24383,23.52,5.036883485764264e+18,0.0,0.0
TIC_1989507617,main,1.018,0.0,18.979153,31.380000000000003,6.473733458560521e+18,0.0,0.0
TIC_2054850485,main,1.004,0.0,16.575827,8.52,6.387582775449769e+18,0.0,0.0
TIC_161172848,main,0.913,0.0,10.583702,51.42,6.50761804040202e+18,0.0,0.0
TIC_281765034,main,1.36,2.0,9.091551,41.16,4.907611365362218e+18,1.0,0.0
TIC_140431393,main,1.067,0.0,9.298184,9.24,5.016243870100604e+18,0.0,0.0
TIC_79353860,main,1.003,0.0,15.902834,85.8,6.464503543777416e+18,0.0,0.0
TIC_32395981,main,0.973,0.0,8.597077,20.34,5.021794891992487e+18,0.0,0.0
TIC_1528888766,main,1.081,0.0,18.45477,2.22,5.955540229773357e+18,0.0,0.0
TIC_364637541,main,0.954,0.0,12.115597,17.759999999999998,6.707305599873271e+18,0.0,0.0
TIC_372301002,main,0.976,0.0,9.117035,13.56,6.376565153544346e+18,0.0,0.0
TIC_466098985,main,0.908,0.0,8.771819,2.5799999999999996,6.427778755901016e+18,0.0,0.0
TIC_101356597,main,1.026,0.0,12.171332,7.14,6.665647067091607e+18,0.0,0.0
