host,tic_id,n_sectors_measured,sectors,mean_depth,sector_depth_frac_scatter,sector_depth_chi2red,status
GJ_367,34068883,2.0,"63,99",-0.014602094888687134,0.10247430756264629,0.002007993654233025,ok
GJ_3929,188589164,3.0,"24,25,78",0.0003953377405802409,1.1100004098358067,13.541230980073127,ok
GJ_414_A,9001920,1.0,22,0.00013107061386108398,,,ok
GJ_3090,262530407,5.0,"2,3,29,69,96",0.0006012678146362305,1.0166732761845352,64.57457416543393,ok
GJ_508.2,43133318,3.0,"23,49,76",0.0002123713493347168,0.8560555428124869,5.793144960427016,ok
GJ_3470,19028197,5.0,"44,45,46,71,72",0.0028830885887145994,0.8550200284903059,121.28301602718594,ok
GJ_3942,162494287,4.0,"23,50,51,52",0.0004032999277114868,2.7904825282043593,232.46612613397113,ok
GJ_504,397587084,2.0,"23,50",0.002240702509880066,0.3902910044152202,118.06311395622048,ok
GJ_682,16909008,2.0,"12,39",-0.00016094744205474854,1.6192555435485665,0.04596700964474329,ok
GJ_3988,274626553,5.0,"24,25,26,50,51",2.6029348373413085e-05,7.602508511178022,1.7300113781861888,ok
GJ_625,207492082,5.0,"16,23,25,49,50",6.151199340820313e-06,8.673257809141079,0.8218328338470254,ok
GJ_685,219780306,5.0,"14,15,16,17,18",2.1982192993164063e-05,11.089917880608692,13.625076692056297,ok
GJ_900_A,2052770532,2.0,"42,70",0.017703905701637268,0.055410878765841574,0.039493483385517454,ok
GJ_86,631746155,5.0,"29,30,69,96,97",-0.004577499628067016,20.58417460497909,0.5126504970228741,ok
GJ_649,236743275,3.0,"25,52,79",-0.0004246632258097331,1.4126602502159444,89.76779555812107,ok
GJ_720_A,122958010,5.0,"14,26,41,53,54",3.225207328796387e-05,1.434064843144804,1.1848209815487185,ok
GJ_9689,87942223,2.0,"54,81",-4.187226295471191e-06,54.590656622992746,4.764673028966875,ok
GJ_238,737377690,0.0,,,,,no sector yielded a depth
GPX-1,245392284,3.0,"58,85,18",0.0019964873790740967,0.967971381784003,15.081035634376638,ok
G_192-15,704427628,1.0,59,1.383273832499981,,,ok
GJ_96,409527090,3.0,"18,58,85",5.6008497873942055e-05,1.1239268839949133,0.972265408700053,ok
GQ_Lup,442623945,4.0,"12,38,103,65",0.13216988742351532,2.000872779913087,426.4337417817244,ok
Gaia-1,11755687,3.0,"87,6,33",0.004467785358428955,1.7684700461982794,261.4125840963675,ok
G_196-3,88723334,3.0,"21,48,75",-0.0019429524739583333,6.671561911590074,1406.6828200011166,ok
Gaia-4,166669918,2.0,"23,77",0.0004423558712005615,1.243856232350654,1.1267690464780753,ok
GJ_9827,301289516,3.0,"42,70,92",4.6590963999430336e-05,0.3607615417841894,0.1894502783797725,ok
HAT-P-1,346338552,,,,,,error: TypeError
G_9-40,203214081,5.0,"44,45,46,72,1751",0.0006463825702667236,2.2847410297039845,27.576152761550635,ok
Gl_410,97488127,1.0,22,0.013510704040527344,,,ok
Gaia-2,147797743,4.0,"47,60,73,74",0.0001409873366355896,4.242940163775055,2.6179821480564063,ok
HAT-P-13,20096620,1.0,47,0.0008644163608551025,,,ok
HAT-P-16,191284318,,,,,,error: TypeError
HAT-P-15,353459965,2.0,"59,86",0.005510896444320679,1.3717523575043964,1531.9818388727358,ok
Gaia-5,42004825,3.0,"41,54,55",0.0010101000467936199,0.9459211116425504,4.255267272256399,ok
HAT-P-19,267650535,,,,,,error: TypeError
GU_Psc,408263079,5.0,"17,42,43,57,70",0.0019418656826019286,5.0753507557137825,7313.79123557131,ok
HAT-P-12,198108326,5.0,"23,49,50,76,77",0.00027803182601928713,4.926881058597257,2.7333744672503726,ok
HAT-P-21,17993892,,,,,,error: TypeError
HAT-P-22,252479260,,,,,,error: TypeError
HAT-P-14,101721385,5.0,"25,26,53,52,80",0.0013301312923431397,1.4239923346848016,129.77490904879446,ok
HAT-P-2,39903405,5.0,"24,25,51,52,78",-5.2821636199951175e-05,2.6902926058310546,5.360635984730138,ok
HAT-P-18,21744120,3.0,"25,26,79",0.012722283601760864,0.884628659089189,678.2645210334825,ok
HAT-P-26,420779000,1.0,50,0.005778670310974121,,,ok
HAT-P-17,266593143,5.0,"15,55,56,82,83",0.00034456849098205564,2.6349027448619418,5.576700532286121,ok
HAT-P-27,461239485,1.0,51,0.011251688003540039,,,ok
HAT-P-23,305243225,3.0,"54,55,81",0.008636792500813803,0.9406821047845194,2332.8068956931893,ok
HAT-P-3,311035838,,,,,,error: TypeError
HAT-P-20,26826078,5.0,"44,45,46,71,72",0.00833050012588501,1.2560201937898405,1113.6508113180912,ok
HAT-P-28,53728859,2.0,"57,84",0.006768286228179932,1.4439230940723107,1561.9058540349238,ok
HAT-P-30,455135327,,,,,,error: TypeError
HAT-P-25,35022727,5.0,"42,43,44,70,71",0.003901100158691406,2.008537084129057,554.052444978655,ok
HAT-P-32,292152376,,,,,,error: TypeError
HAT-P-35,455096220,,,,,,error: TypeError
HAT-P-24,440777904,5.0,"7,33,44,45,46",0.001912403106689453,2.5249539524398736,1421.3238654968998,ok
HAT-P-29,250707118,3.0,"58,85,18",4.9451986948649086e-05,2.4673996907663045,0.17554795381679694,ok
