host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
G_261-6,1,Success,274.42254114151,0.8951135974053288,6,0.2724690704710236,0.3196908437218546
Gl_725_A,1,Success,63.18425798416138,1.3588700578453565,67,,0.7662741017460245
HAT-P-13,1,Success,31.525163888931274,35.530866968399415,4,0.774937776849358,0.08373152220617128
HAT-P-14,1,Success,38.696088790893555,0.5867179161192517,6,0.25532823022502327,0.37252238534871523
Gaia-5,1,Success,156.89852690696716,0.9810706072176204,6,0.31952526540222204,0.1656266258856275
HAT-P-12,1,Success,60.22045016288757,,1,0.1722876174683102,0.9381662614830681
HAT-P-11,1,Success,76.86673712730408,5.331299979313817,2,0.2001366883816648,0.5345338663547908
HAT-P-15,1,Success,42.050337076187134,1.241881326600577,2,0.24383031732786736,
HAT-P-16,1,Success,35.97087597846985,0.8138368833400453,4,0.19315537724972784,0.539301218099443
HAT-P-17,1,Success,42.383540868759155,2.8881292199853905,2,0.07325891430305635,
HAT-P-18,1,Success,54.026164054870605,,1,0.1607490322938285,0.2270527673074184
HAT-P-2,1,Success,37.01058578491211,11.183117147895222,4,0.06172662813990266,0.1604011773983572
HAT-P-21,1,Success,46.009849071502686,1.9733194107959178,5,0.38507697052543705,0.32552372946712765
HAT-P-20,1,Success,76.75112771987915,135.15163305466675,4,0.29003692888453714,0.7371227254104056
HAT-P-22,1,Success,49.24225306510925,14.246721515570668,3,0.21821195716365785,
HAT-P-23,1,Success,50.64785575866699,2.3227647823407835,20,,0.2765805652169949
HAT-P-24,1,Success,33.67614221572876,4.385239340414535,7,0.3237319489268913,0.3499536461125309
HAT-P-27,1,Success,30.216845989227295,14.829484442653754,3,0.19687965724533682,0.34646870942059793
HAT-P-25,1,Success,46.750760078430176,0.6433389666662318,5,0.31655180794935406,0.2611928185826933
HAT-P-26,1,Success,46.52462601661682,0.1358483050275999,3,0.48902374297769674,0.33556877797057244
HAT-P-28,1,Success,53.50625491142273,2.7843769167003805,8,0.4554043055328158,0.4047429501868987
HAT-P-30,1,Success,33.86734986305237,2.960634610706512,4,0.3265675416792373,0.9823201800938014
HAT-P-3,1,Success,47.722996950149536,0.6332762040791401,3,0.24831174072869433,0.49946383224086505
HAT-P-31,1,Success,34.339966773986816,0.7646931753482623,5,0.4777557668211137,0.5861687156579004
