host,sec_depth_windowed,sec_significance,sec_sigma_eff,sec_n_in_window,sec_status
AU_Mic,3.293431286266468e-05,1.3247482691877284,2.4860808372943497e-05,426,ok
BD+14_4559,9.017641195763204e-06,0.25293064568468215,3.5652623948958374e-05,207,ok
BD+15_2940,-0.0001130304747867239,-2.4102580668811453,4.6895590285476956e-05,109,ok
2MASS_J22362452+4751425,3.258962296115442e-05,0.3503713932956139,9.301450856080032e-05,3115,ok
BD+20_594,0.0003744687634172905,2.2489369558679444,0.00016650923114595257,60,ok
BD+15_2375,-0.00014611305443401612,-7.395294423609256,1.9757570972097416e-05,1639,ok
BD+42_2315,-0.0006121021279938965,-10.525974997055943,5.8151584833243295e-05,96,ok
47_UMa,8.12207138689569e-06,1.4315180240916934,5.673747204160558e-06,853,ok
BD+48_738,1.9144550761573953e-05,1.6104577423744442,1.188764551707355e-05,716,ok
BD+49_828,5.652749426499071e-05,4.974715410987615,1.1362960409783215e-05,1312,ok
BD+55_362,4.878736532676342e-05,1.8327751314273157,2.6619395085729442e-05,80,ok
BD+60_1417,9.678615036345928e-05,1.7440249935493477,5.5495850530493375e-05,120,ok
BD+20_274,7.17488673015465e-05,1.121968133149831,6.39491133318712e-05,46,ok
BD+45_564,8.50916673177382e-05,1.3832493128575667,6.151578499030862e-05,79,ok
BD-06_1339,4.720374869460198e-05,1.1929326778869171,3.956949924300473e-05,109,ok
BD-08_2823,-4.03988815613765e-05,-0.6513227185223935,6.202590576454384e-05,79,ok
BD+20_2457,-8.154749949218498e-05,-1.8928388108850764,4.308211508726093e-05,136,ok
BD-11_4672,-0.00019438653689696217,-3.076243637869245,6.318957786828734e-05,87,ok
51_Peg,6.516625468133697e-07,0.1399324740358795,4.656978669913888e-06,2276,ok
BD-10_3166,8.345949558674626e-05,2.7641725910808,3.0193301191121838e-05,753,ok
BD-13_2130,-9.59997630145537e-06,-0.30885242147203174,3.108272959525655e-05,619,ok
BD-14_3065_A,-8.29025395381322e-05,-0.9527634080070998,8.701272408387291e-05,234,ok
BD-210397,-3.720619870639652e-05,-1.2019726657878727,3.0954280214025075e-05,221,ok
CD-35_2722,0.00012504546947300632,1.5724424674049309,7.95230808535553e-05,120,ok
BEBOP-4_A,-5.9958047160302286e-05,-0.8712744729965616,6.881648552618493e-05,84,ok
BEBOP-3,-1.8054524353772194e-05,-0.5153060453279863,3.503650794991295e-05,243,ok
BD+03_2562,4.804583644713034e-05,1.0487600991160833,4.581203698312357e-05,390,ok
BD+63_1405,-3.6001246176642354e-05,-1.0146647111826455,3.548092860614123e-05,130,ok
CI_Tau,-0.0020902333663075368,-3.1471361659570216,0.0006641699806058159,158,ok
CT_Cha,0.000547890359073655,2.4446393644455937,0.00022411909381893965,348,ok
AT2021ueyL,0.0017030296179384452,1.2145526683492074,0.0014021867164090665,2290,ok
CoRoT-10,-0.000796622704654415,-0.49138312538916973,0.0016211844963611624,110,ok
CoRoT-11,0.0007805349552284513,1.2809798178376408,0.0006093265048828279,154,ok
COCONUTS-2_A,-2.7856876454457336e-05,-0.37829430966592853,7.363810594734488e-05,128,ok
CoRoT-12,0.0010099891147501427,0.5047746280279188,0.00200087139620314,467,ok
CoRoT-1,0.0003940679668423819,1.4217437850804389,0.0002771722802502607,811,ok
CD_Cet,-0.00015206970726988622,-0.8865709037899925,0.00017152571398385065,84,ok
CoRoT-16,0.005411085293593687,1.5053145389095344,0.0035946542425037186,125,ok
CoRoT-17,7.013479544937251e-05,0.008970166007342708,0.00781867307605704,42,ok
CoRoT-18,0.0009743833787394518,1.2791285221097919,0.000761755649957915,673,ok
CoRoT-19,-0.00012382573793212615,-0.4242984245151591,0.00029183643110063486,663,ok
CoRoT-2,0.0002881289972185286,1.0256351437299658,0.00028092738336820154,199,ok
CoRoT-20,-0.004129512952813386,-2.5272647017954166,0.0016339851341569808,56,ok
CoRoT-21,-0.0026382440254417716,-0.5784278815902665,0.004561059570967554,229,ok
CoRoT-24,-0.004715197842498853,-1.9241341206504898,0.002450555702897047,101,ok
CoRoT-25,-0.00241557607749443,-0.6409543715583053,0.00376871768831472,128,ok
CoRoT-14,0.004088558774058004,1.7257722398577027,0.00236911840370959,378,ok
CoRoT-22,0.000775000307262852,0.5717744365511451,0.0013554301446870095,56,ok
CoRoT-13,-0.0008295375051763365,-0.47261317052086976,0.0017552145325575635,198,ok
CoRoT-26,0.0010025404973650343,0.21515700772384158,0.0046595763157843105,123,ok
CoRoT-3,0.001237955156699444,2.720639954008117,0.00045502351565324047,225,ok
CoRoT-28,-0.0005550410839458841,-1.3192745639284358,0.00042071688420424396,294,ok
CoRoT-29,4.631952666400707e-05,0.01312317434548582,0.0035295977516248047,157,ok
CoRoT-23,-0.001942767701790693,-0.6201330223238902,0.00313282413910221,123,ok
CoRoT-30,-0.006214333578496545,-0.7879136651423412,0.007887074248641048,71,ok
CoRoT-31,0.015405371916429988,1.9085132536567275,0.008071922941542672,21,ok
CoRoT-4,7.977915976131733e-05,0.1635679648032906,0.00048774318282471143,327,ok
CoRoT-6,-0.0011336535905659417,-0.7962440322867665,0.0014237514437755402,69,ok
