host,ts_var_ratio,ts_acf_lag1,ts_acf_1hr,ts_n_in,ts_n_out,ts_status
G_9-40,1.173432520551869,0.009000445766219124,-0.0034812951703216155,176,14571,ok
Gaia-1,1.770087458234715,0.014901810921051934,-0.017443448811557703,215,13202,ok
Gaia-2,2.583574184890089,-0.0020803722062383893,-0.005076893777354885,105,15180,ok
Gaia-4,0.7094503462136565,-0.007510561765753288,0.007607431968515244,55,13178,ok
Gaia-5,0.8753713206985446,-0.010310851602214396,-0.004329174947546257,163,17669,ok
Gl_378,0.8239181326976825,-0.015650094655871208,0.0014812856759091478,110,18158,ok
Gl_410,9.459303456543465,0.3005715593496188,0.019390461528872315,147,15398,ok
Gl_49,1.8789914180574434,0.04048271689382673,-0.005087425681792858,119,14597,ok
Gl_686,0.717414320705906,-0.00021010480492996867,-0.003708573343065385,136,16383,ok
Gl_725_A,1.1661527842216872,0.008930140036810271,-0.027874411911887272,327,11936,ok
Gliese_12,0.9954146848488802,-0.005373599073263599,0.005681418710209507,1484,57309,ok
HAT-P-1,1.1135342078760146,0.0021977265183923483,0.0070293314148457365,1358,107459,ok
HAT-P-11,,,,7,17852,insufficient in/out points (7/17852)
HAT-P-12,2.62203742487043,0.021036670256149588,0.008199072383503111,84,11754,ok
HAT-P-13,2.0430327126739396,0.01798418441224371,-0.006830246774623105,85,15714,ok
HAT-P-14,2.321717633077178,0.009917405757576022,-0.009577576140298916,83,16705,ok
HAT-P-15,0.15899382400169298,0.017794910352168087,-0.012882996394430416,37,14566,ok
HAT-P-16,,,,1,12169,insufficient in/out points (1/12169)
HAT-P-17,3.64746115239387,0.021266791106977434,0.0016657833168100434,36,12372,ok
HAT-P-18,,,,1,11302,insufficient in/out points (1/11302)
HAT-P-19,1.1100056920788564,-0.006187291731773548,0.0021514824288361737,760,102542,ok
HAT-P-2,1.812378859276036,0.037696835817094064,0.005185271702820256,115,17217,ok
HAT-P-20,4.379870764818223,0.2487227499775438,0.05777002492314945,42,15170,ok
HAT-P-21,0.5097551036730992,0.028272434044901453,-0.00011290331636070478,222,15370,ok
HAT-P-22,2.6611560499162628,0.0187199639017301,0.009873227235737823,45,17825,ok
HAT-P-23,2.1922401158361606,0.07529703661445422,-0.007971663178045594,1058,13259,ok
HAT-P-24,0.6512901602854841,0.0042860802976928646,-0.005408593888424114,346,14080,ok
HAT-P-25,0.4109402989808232,0.0498908633178118,-0.015987847265963914,109,12327,ok
HAT-P-26,0.8116622673357373,0.009742378707528858,0.002093157887779447,89,10491,ok
HAT-P-27,1.4810425896218737,0.023820136122831268,0.00629052169486138,24,7070,ok
