host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
Kepler-1735,123206821,37.79469084739685,failed,,,,"Depth measured at the target's own pixel in this sector (-2750 ppm) doesn't match the known transit depth (5910 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1734,138636741,43.90658402442932,completed,81.0,0.6022583253523762,"Photocenter shifted 0.60 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1739,272279981,26.777159929275513,failed,,,,"Depth measured at the target's own pixel in this sector (-558 ppm) doesn't match the known transit depth (4224 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1738,272080244,35.03967094421387,failed,,,,"Depth measured at the target's own pixel in this sector (-18335 ppm) doesn't match the known transit depth (23056 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1740,138479461,29.20703101158142,failed,,,,"Depth measured at the target's own pixel in this sector (1305 ppm) doesn't match the known transit depth (17044 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1741,137689252,27.493563175201416,failed,,,,"Depth measured at the target's own pixel in this sector (-117 ppm) doesn't match the known transit depth (8048 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-174,158434144,36.04084897041321,failed,,,,"Depth measured at the target's own pixel in this sector (276 ppm) doesn't match the known transit depth (3015 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
Kepler-1742,158326424,34.08413600921631,completed,74.0,0.8468153652700885,"Photocenter shifted 0.85 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1746,158722379,24.28780484199524,completed,74.0,2.6074343211859583,"Photocenter shifted 2.61 px from target -- signal likely from a nearby contaminant, not the target star",
Kepler-1745,270525576,33.06220102310181,failed,,,,"Depth measured at the target's own pixel in this sector (362 ppm) doesn't match the known transit depth (11363 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
