host,cadence_min,n_points,baseline_days
HAT-P-26,2.000046695029596,10864,26.237996312976065
HAT-P-27,1.9999950625060592,7195,24.58032816606874
HAT-P-28,2.0000104917562567,17961,28.759876620059913
HAT-P-29,0.33333317616779823,111688,27.71987489768253
HAT-P-3,2.000005469817552,12911,22.443122715978234
HAT-P-30,2.000017272584955,15878,24.454384832718915
HAT-P-31,2.0000135026930366,16896,24.86669653747117
HAT-P-32,0.33333116516587324,109159,27.719710915060205
HAT-P-33,2.0000092249756563,15821,26.234869514840966
HAT-P-34,2.0000172526124516,13076,26.850048455388333
HAT-P-35,2.0000165994133567,16335,24.454364980181026
HAT-P-36,2.000002502427378,15805,26.13893087266956
HAT-P-37,2.000032611140341,14518,23.03226963613338
HAT-P-38,0.33332915416394826,99890,26.33853997281767
HAT-P-39,2.000196429871721,15796,24.19124294158246
HAT-P-4,1.9999907281453488,14454,26.484550030196942
HAT-P-40,0.3333361969271209,99590,27.88260796241957
HAT-P-41,1.999988349780324,8604,26.229182843278977
HAT-P-42,1.9999716668462497,12895,23.964878486376847
HAT-P-43,2.000031353200029,16340,24.45454882931108
HAT-P-44,1.9999837119030417,15090,25.47621218849963
HAT-P-45,1.9999729002302047,11706,26.446988621663877
HAT-P-46,0.333326470645261,69593,26.44866759680599
HAT-P-49,2.0000151142448885,17907,26.588935744577157
HAT-P-5,2.0000195389729924,16680,24.866791139122824
HAT-P-50,1.999993131721567,16292,24.449919025580584
HAT-P-51,2.000029939081287,17978,28.760147157625852
HAT-P-52,2.000178272573976,14129,23.850720272433136
HAT-P-53,1.999962877962389,12626,25.488419851165872
HAT-P-54,2.0001972654426936,15683,24.057916104840388
HAT-P-55,2.000025577872293,13921,25.66435571204761
HAT-P-56,2.00019659489044,15837,24.188478107182164
HAT-P-57,0.33332982209685724,67993,26.448902453076244
HAT-P-58,1.9999903666757746,16065,24.833230227261083
HAT-P-59,2.0000152278589667,14354,24.775175162513506
HAT-P-6,0.33332982995489147,104412,28.76061014711331
HAT-P-60,0.3333311664755456,112798,27.71975213586302
HAT-P-61,2.0000010961666703,16555,25.209751852908994
HAT-P-62,1.9999984139576554,16642,25.24721557050907
HAT-P-63,1.9999581480806228,11594,26.446805613518336
HAT-P-64,0.3333271411975147,146113,51.6636530116225
HAT-P-65,1.99997696938226,13043,27.162314083354886
HAT-P-66,1.9999884155913605,18607,27.34570196299046
HAT-P-67,2.000027273570595,17286,26.485162012737874
HAT-P-68,2.0001982725807466,15020,23.978743270386985
HAT-P-69,0.33333653678710107,96246,24.995588049583603
HAT-P-7,2.0000112166599138,17660,26.850053097565706
HAT-P-70,2.000008499089745,16479,25.918132953789154
HAT-P-8,0.3333372021006653,112662,27.882633028035343
HAT-P-9,1.9999991673466866,16488,26.318069379607095
HATS-1,1.9999555588583462,14081,23.871731129707314
HATS-10,2.000157996881171,15538,25.07279178290264
HATS-11,2.000148598344822,15389,24.93654911496469
HATS-12,2.0001489424612373,15305,24.930995200850248
HATS-13,1.9999965149327181,18180,27.744215099818575
HATS-14,1.9999857864240767,18168,27.72879164695337
HATS-15,2.0001838124881033,15385,24.859210113273093
HATS-16,2.0000126232480397,18298,27.405603968818923
HATS-17,2.0000353545765392,14968,24.33518294440705
HATS-18,1.9999609278602293,13617,23.384304718833164
HATS-2,1.9999569052015431,14190,23.8064762037518
HATS-22,1.9999615990673192,13492,23.355147827222027
HATS-23,1.9999890894177952,17072,25.123573490728177
HATS-24,1.9999582430318696,17095,25.334277630976203
HATS-25,1.9999629408266628,11697,22.546749247145044
