hostname,tic_id,disc_year,disc_facility
TOI-1670,TIC 441739020,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2338,TIC 24358417,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2133,TIC 39200363,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 117642575,TIC 117642575,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-6651,TIC 174328045,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-908,TIC 350153977,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-519,TIC 218795833,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-2578,TIC 104986789,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2498,TIC 263179590,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1194,TIC 147950620,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-837,TIC 460205581,2020,Transiting Exoplanet Survey Satellite (TESS)
Gliese 12,TIC 52005579,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-6130,TIC 210083929,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5210,TIC 265979849,2025,Transiting Exoplanet Survey Satellite (TESS)
NGTS-30,TIC 322807371,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1533,TIC 345143460,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-470,TIC 37770169,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1898,TIC 91987762,2024,Transiting Exoplanet Survey Satellite (TESS)
HIP 8152,TIC 164767175,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1937 A,TIC 268301217,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1338 A,TIC 260128333,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1235,TIC 103633434,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-663,TIC 54962195,2024,Transiting Exoplanet Survey Satellite (TESS)
HD 207897,TIC 264678534,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-905,TIC 261867566,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-2267 A,TIC 459837008,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2000,TIC 371188886,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1333,TIC 395171208,2021,Transiting Exoplanet Survey Satellite (TESS)
HD 1397,TIC 394137592,2018,Transiting Exoplanet Survey Satellite (TESS)
TOI-4582,TIC 219854519,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2545,TIC 149845414,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2211,TIC 212253390,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5777,TIC 459189798,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-2518,TIC 96925186,2026,Transiting Exoplanet Survey Satellite (TESS)
TIC 206466666,TIC 206466666,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5349,TIC 26054627,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1117,TIC 295541511,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-4406,TIC 206541859,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2322,TIC 300812741,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-2345,TIC 91555165,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-7510,TIC 118798035,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 202772 A,TIC 290131778,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-480,TIC 317548889,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1443,TIC 237232044,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5624,TIC 53498154,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-561,TIC 377064495,2020,Transiting Exoplanet Survey Satellite (TESS)
LTT 1445 A,TIC 98796344,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1782,TIC 160045097,2024,Transiting Exoplanet Survey Satellite (TESS)
HD 109833,TIC 360630575,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-700,TIC 150428135,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-757,TIC 130924120,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1453,TIC 198390247,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-451,TIC 257605131,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-1630,TIC 317597583,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5153,TIC 124029677,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-5926,TIC 372831381,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5238,TIC 219016883,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1710,TIC 445805961,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1899,TIC 172370679,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-6054,TIC 392681545,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-892,TIC 66561343,2020,Transiting Exoplanet Survey Satellite (TESS)
TOI-5800,TIC 151759246,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1739,TIC 159418353,2024,Transiting Exoplanet Survey Satellite (TESS)
TIC 88785435,TIC 88785435,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-6707,TIC 287328202,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-4507,TIC 179582003,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-3540 A,TIC 17865622,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-2803 A,TIC 124379043,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-262,TIC 70513361,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-2420,TIC 268532343,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4465,TIC 157236902,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-6255,TIC 261135533,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2274,TIC 289164482,2024,Transiting Exoplanet Survey Satellite (TESS)
