host,label,cadence_min,n_points
HATS-66,1,0.33333586623484734,102372
HATS-67,1,0.33333184488583356,91417
HATS-68,1,0.3333385504083708,88854
HATS-69,1,0.3333284862310393,87530
HATS-7,1,1.9999629395169904,11701
HATS-70,1,0.333339554927079,102242
HATS-71,1,2.0000297072692774,18261
HATS-72,1,1.999959506210871,9573
HATS-74_A,1,2.0000226468255278,15457
HATS-75,1,2.000027347567084,14601
HATS-76,1,1.9999884637218202,17160
HATS-77,1,1.999974368045514,15272
HATS-8,1,2.000157660950208,15647
HATS-9,1,2.0001519481593277,15001
HD_100508,1,2.0000343546416843,15660
HD_100546,1,2.0000356531818397,14998
HD_100655,1,2.000010548727005,16164
HD_100777,1,2.0000119189717225,16025
HD_10180,1,2.0000380904821213,18272
HD_101930,1,2.0000209429417737,15490
HD_102117,1,2.000022619649826,15488
HD_102195,1,2.0001741248415783,16232
HD_102272,1,2.0000293228804367,16164
HD_102329,1,2.0001741248415783,16231
HD_102843,1,2.0002014419878833,16945
HD_102888,1,1.9999676346924389,14598
HD_102956,1,2.000023272848921,18631
HD_103197,1,2.000010550036677,15483
HD_103720,1,2.000200603797566,15936
HD_103774,1,2.0000374009396182,16022
HD_103891,1,2.000034046213841,16020
HD_103949,1,1.999966963812767,14586
HD_104067,1,1.9999615997221554,14578
HD_10442,1,2.0000380001147278,16071
HD_104985,1,2.0000138988689287,18408
HD_105618,1,2.000198256864678,16961
HD_105779,1,1.9999649518285878,14883
HD_106252,1,2.000198256864678,16966
HD_106270,1,1.9999568999628536,14876
HD_106315,1,2.0001992626930587,16385
HD_10647,1,2.0000129585241666,18298
HD_106515_A,1,2.0001960775698535,15976
HD_106906,1,2.0000310012255795,15488
HD_10697,1,2.000010531046428,12708
HD_107148,1,2.000197585002752,15977
HD_108147,1,1.9999914376603556,11691
HD_108202,1,2.000197083398234,16384
HD_108236,1,2.000027984067856,15489
HD_108341,1,2.0000095442082966,11692
HD_108863,1,2.000023244690965,13508
HD_108874,1,2.0000219032590394,13507
HD_109246,1,2.0000031710151234,18416
HD_109271,1,1.999975675917085,14873
HD_109286,1,1.9999756646211608,13141
HD_109749,1,2.000018596663722,15407
HD_10975,1,2.0000333298230544,12778
HD_109833,1,0.33333553161355667,106350
HD_109988,1,2.0000098734271887,15091
HD_110014,1,2.000191216066014,16442
HD_110067,1,1.9999649354576832,13078
HD_110082,1,2.0000118914686027,14347
HD_110113,1,2.0000253002217505,15416
HD_11112,1,1.9999824248225195,12854
HD_111232,1,2.000007867172826,11700
HD_111591,1,1.9999696306331316,13079
HD_111998,1,2.0001898756163428,16610
HD_112570,1,1.999965938339301,15247
HD_112640,1,1.9999766842011013,18402
HD_113337,1,1.999964277674735,18414
HD_113538,1,1.9999803755126777,11699
HD_113996,1,1.999974993414071,13300
HD_114082,1,1.9999806705163792,18093
HD_114386,1,2.0000346841879946,15093
HD_114729,1,2.0000326720401063,15100
HD_114783,1,0.3333640313940123,98546
HD_11505,1,2.0000413528759964,16064
HD_11506,1,2.0000219875691982,12919
HD_115404_A,1,1.999999133295205,13079
HD_115954,1,2.000041394130676,16804
HD_116029,1,1.999987735052855,13421
HD_117207,1,1.9999642819311703,11692
HD_11755,1,2.000023295113351,15131
HD_117618,1,1.9999850690510357,11694
HD_118203,1,1.9999726418973296,14820
HD_11964,1,2.0000400923163397,12890
HD_11977,1,2.000015961275494,18266
HD_120084,1,2.00000954191637,18416
HD_121504,1,2.0000112199340947,11690
HD_12235,1,1.999957618972985,14685
HD_122562,1,2.000025955712772,13492
HD_124330,1,1.999964259994158,15700
HD_12484,1,1.9999596319394186,14843
HD_125136,1,3.3333723543182714,11656
HD_125271,1,2.000039008562453,18492
HD_125390,1,1.9999910391925368,10102
HD_125595,1,2.000005184800102,11683
HD_125612,1,0.33333720537484623,75086
HD_12648,1,2.000031949428376,19599
HD_126525,1,2.0000212788727367,11695
HD_12661,1,2.000031988882256,12707
HD_126614,1,1.9999843330151634,8136
HD_127195,1,3.333327092041145,10434
HD_127506,1,2.0000199204150704,13418
HD_128311,1,0.33332915809296537,52851
HD_128356,1,2.0000011608317436,11693
HD_128717,1,1.9999689548421884,15709
HD_129445,1,1.999976686493028,14333
HD_130322,1,1.9999964042654028,8135
HD_131496,1,1.999980980908731,7948
HD_13167,1,2.000024672233849,13023
HD_13189,1,3.333280140941497,11273
HD_132406,1,1.9999887063386268,15451
HD_132563,1,1.9999645661300747,15391
HD_133131_A,1,2.000023290529498,11697
HD_133131_B,1,2.000023958789825,11690
HD_134060,1,0.3333398895483697,106986
HD_134606,1,1.999988084899087,14338
HD_134987,1,2.000029324190109,11692
HD_135344_A,1,2.000039383456169,11664
HD_135625,1,2.000015204612282,18219
HD_135694,1,1.9999877473310335,16216
HD_136118,1,2.0000252373574767,6794
HD_136352,1,1.99995958708314,14337
HD_136418,1,2.000022604588594,15259
HD_136925,1,2.000010485207895,7946
HD_13724,1,1.9999874536370044,13175
