host,label,ra,dec,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
Kepler-705,1.0,289.5085612,41.8120234,1.114,0.0,15.831545,0.6,2.1022449679319173e+18,0.0,0.0
Kepler-707,1.0,290.007564,42.1164698,0.973,0.0,14.98498,0.06,2.1018982051541832e+18,0.0,0.0
Kepler-709,1.0,292.105272,42.3803077,0.986,0.0,15.182122,0.24,2.125730982977974e+18,0.0,0.0
Kepler-710,1.0,291.9641255,42.6961308,1.082,0.0,15.000893,0.18,2.12578543886445e+18,0.0,0.0
Kepler-711,1.0,297.4600468,42.8398172,0.998,0.0,15.318784,0.6599999999999999,2.07851180329478e+18,0.0,0.0
Kepler-713,1.0,295.6513819,43.0297781,1.116,0.0,15.008113,0.5399999999999999,2.0780038976369551e+18,0.0,0.0
Kepler-714,1.0,282.6994685,43.2727437,1.032,0.0,15.229166,0.12,2.1051929991217234e+18,0.0,0.0
Kepler-715,1.0,283.6307971,43.3793638,1.018,0.0,15.021867,0.18,2.1050918784121644e+18,0.0,0.0
Kepler-716,1.0,290.3931809,43.3638577,1.0,0.0,15.143267,0.18,2.1260739618863898e+18,0.0,0.0
Kepler-718,1.0,299.5618676,43.5035173,1.007,0.0,15.233004,0.3,2.0759646128121298e+18,0.0,0.0
Kepler-719,1.0,295.5360628,43.8844116,1.127,0.0,15.895694,0.3,2.079608703576897e+18,0.0,0.0
Kepler-720,1.0,298.6356478,44.1709388,0.959,0.0,15.153035,0.06,2.0790567143838659e+18,0.0,0.0
Kepler-721,1.0,284.4305132,44.4803776,1.043,0.0,15.629946,0.84,2.106717678151463e+18,0.0,0.0
Kepler-723,1.0,284.8304434,44.6580932,3.9,0.0,15.201775,0.42,2.1067350641792205e+18,0.0,1.0
Kepler-724,1.0,293.4548441,44.7927823,1.02,0.0,15.108212,0.24,2.1264321965180513e+18,0.0,0.0
Kepler-725,1.0,283.9774949,44.8115613,1.278,0.0,14.984954,0.18,2.106775024555032e+18,0.0,0.0
Kepler-726,1.0,291.7172776,44.8873466,1.007,0.0,15.023055,0.3,2.126577881808038e+18,0.0,0.0
Kepler-727,1.0,294.8469333,45.0344155,1.009,0.0,15.338795,0.12,2.0798775685291233e+18,0.0,0.0
