host,recon_err,var_oot_rms
GJ_143,7.936521029705546e-06,0.0005045516044887
GJ_15_A,9.152355687547242e-06,0.0004879684381116
GJ_160.2,8.173247692866425e-06,0.0004745652895893
GJ_163,9.613860669333008e-06,0.0007771615429064
GJ_179,7.951221391522267e-06,0.0013316507571264
GJ_180,6.669330559816444e-06,0.0006331385129516
GJ_2030,5.971942954374754e-06,0.0001800125723677
GJ_2056,6.083324393557632e-06,0.0006116962112711
GJ_2126,7.280976433321484e-06,0.0007110498516102
GJ_229,7.160974178077595e-06,0.0002163722518053
GJ_238,4.507147451704441e-06,0.0008094919353083
GJ_251,8.84856774518994e-06,0.000395949118463
GJ_27.1,8.572051171995554e-06,0.0008287080001491
GJ_273,6.840102571459283e-06,0.0003656110082999
GJ_3021,5.779280996875968e-06,0.0049435040892786
GJ_3082,5.395462295609832e-06,0.0007102779426894
GJ_3090,6.869099365758302e-06,0.000994126626061
GJ_3138,6.5417929704381095e-06,0.0008226436487873
GJ_317,8.558478441500483e-06,0.0009966020543342
GJ_3222,6.70459570528692e-06,0.0009742596254752
GJ_328,6.490193243280373e-06,0.0004561464724107
GJ_3293,7.052963837850257e-06,0.0010473953754801
GJ_3323,8.17426933963361e-06,0.0015443191621077
GJ_3341,8.613428008175106e-06,0.0012390857947935
GJ_3378,6.58570570521988e-06,0.0007291423147167
GJ_338_B,8.218079017296986e-06,0.0206098347618429
GJ_341,6.072478697660699e-06,0.0004117581048233
GJ_3470,7.880014578631744e-06,0.0028566823755578
GJ_3473,5.104197043692693e-06,0.0020154353653897
GJ_3512,9.708201559988083e-06,0.0026585337479626
GJ_357,4.796903311898859e-06,0.0005683193601332
GJ_3634,5.41203550596947e-06,0.0009919696957776
GJ_367,6.270784069783986e-06,0.0005176500587573
GJ_3779,6.843364133146679e-06,0.0013115235691149
GJ_3929,6.245327540455037e-06,0.0012936974590006
GJ_393,6.182607876326074e-06,0.0007078468053141
GJ_3942,4.701466963297207e-06,0.000928323227033
GJ_3988,5.701637519450742e-06,0.0016149969250443
GJ_411,4.80842422234673e-06,0.0015430146879694
GJ_414_A,9.267538530366437e-06,0.0010331310569354
GJ_422,7.279552107775089e-06,0.0009048904979666
GJ_4274,1.70182040619693e-05,0.0065683683423695
GJ_4276,5.076372019630071e-06,0.0014018988097313
GJ_433,5.1258537610010535e-06,0.0003803767524107
GJ_436,4.758045406560996e-06,0.0005510838419534
GJ_463,6.912072421982884e-06,0.0008591213491333
GJ_480,6.636209832322493e-06,0.0008716584088846
GJ_486,6.343704598066324e-06,0.0006561310414097
GJ_504,6.895793660532945e-06,0.0014614964313707
GJ_508.2,6.523594976215463e-06,0.0006459192587779
GJ_514,4.674403839999286e-06,0.0003868927828666
GJ_536,6.310723279057129e-06,0.0008222758659613
GJ_581,6.799732318540919e-06,0.0010057155649557
GJ_625,8.902109129849123e-06,0.000461185836183
GJ_649,5.825303958317818e-06,0.0005264950120706
GJ_674,5.067272354608576e-06,0.0003840143966268
GJ_676_A,7.93566653101152e-06,0.0004437484661451
