tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
206498307,2413.01,FP,332.188392,-18.992719,1.69269,5184.9
49617263,2417.01,FP,37.885227,-40.016204,1.83,5485.4
65347776,2418.01,FP,39.725259,-27.324227,0.8,5095.0
120585579,242.01,FP,4.451423,-38.110855,1.2666,6083.0
29830212,2651.01,FP,66.302329,-66.717121,0.83,4884.0
277871306,2664.01,FP,156.922386,0.501027,1.04,5863.0
253132689,1971.01,FP,194.769773,-57.253713,1.67,5418.0
467281353,1975.01,FP,168.076087,-60.93258,1.48,5408.7
383531859,1977.01,FP,216.147711,-60.383601,2.14183,9184.7
458856474,1978.01,FP,161.140515,-59.737608,1.0,8719.5
458857720,1979.01,FP,161.046711,-59.92517,,8832.5
127793615,1980.01,FP,218.270079,-43.298512,1.45,5898.8
89535068,1983.01,FP,127.281049,-57.194209,1.07235,5725.0
162246865,1984.01,FP,168.871533,-44.428987,1.3,6237.0
260298958,2205.01,FP,94.315682,-56.509859,0.649887,3653.0
313891529,2424.01,FP,0.315071,-28.493223,2.36235,6173.5
686072378,2438.01,FP,68.226889,-32.88712,,5780.0
348684813,2667.01,FP,133.993484,-14.35529,4.75,5133.0
190081497,2671.01,FP,132.269994,-36.578257,1.34,6187.0
179033846,2675.01,FP,64.262587,-29.524909,1.37,6712.0
219366908,2680.01,FP,75.439417,-49.284463,0.79,5508.0
161156159,1988.01,FP,190.132487,-48.740903,2.15,5368.0
324395151,1989.01,FP,176.866343,-64.882975,,8046.5
457939414,1990.01,FP,158.670633,-59.748482,1.10456,5579.5
82707763,1991.01,FP,169.958638,-51.866071,1.73,5805.6
147340931,1992.01,FP,162.91688,-44.984741,1.72,
453464017,1993.01,FP,152.28015,-72.798117,1.48,6190.4
275384718,1996.01,FP,178.547176,-46.896887,2.32,6249.4
429295277,1998.01,FP,184.259218,-51.075153,1.4,5972.0
316937670,221.01,FP,356.492464,-56.344047,0.525,3765.0
144440290,222.01,FP,359.162484,-44.719403,1.0929,5709.0
168871868,2442.01,FP,65.100654,-31.081604,1.0,5762.0
231721005,2448.01,FP,80.740227,-53.76459,1.78,9671.0
356453768,2002.01,FP,134.190203,-61.371461,1.56,5986.5
439610306,2004.01,FP,143.46695,-55.175763,2.46,6136.9
70887357,2008.01,FP,63.857632,-16.902144,1.94771,5463.0
61733521,2228.01,FP,289.018075,-46.480756,0.9,5420.0
129432342,2230.01,FP,304.452849,-44.968454,4.7,4884.0
389238529,2237.01,FP,302.999475,-37.561663,1.41,7000.0
4294779,2451.01,FP,81.312676,-0.770748,0.540483,3199.0
219208037,2452.01,FP,93.098193,-50.930948,1.09813,4456.2
452810327,2708.01,FP,72.669098,5.387256,1.74,6114.0
332660287,2713.01,FP,63.150132,-12.317659,0.75,4967.0
357416482,2017.01,FP,228.949819,27.36181,1.34,6362.6
11996814,2022.01,FP,31.17055,65.289331,0.627144,3975.0
335996558,2027.01,FP,333.331904,62.857385,1.28,6168.0
336456596,2028.01,FP,334.434433,62.465008,2.25,7751.0
445254275,2029.01,FP,12.216148,59.386718,3.56,7125.0
388130235,2239.01,FP,65.410196,-67.467038,3.0,5030.6
98494121,2240.01,FP,290.986777,-36.910419,0.71,5285.0
349786918,2246.01,FP,113.043495,-65.811395,1.59,5807.0
152714791,2249.01,FP,304.628882,-30.648846,4.35,4982.0
264303333,2250.01,FP,296.355007,67.310971,0.97,5729.0
31114545,2468.01,FP,80.896099,-24.121296,2.37,6102.0
117843067,2469.01,FP,70.308489,-15.672123,2.57,6931.0
373453507,2475.01,FP,76.524234,10.594174,1.37,5600.0
1449756,2480.01,FP,75.174905,-34.815988,1.92,6421.0
269077474,2717.01,FP,75.410841,1.840649,1.78,6341.0
279740441,273.01,FP,51.504472,-64.548108,0.66174,4304.6
427279997,2034.01,FP,351.380744,54.601182,2.68,9714.0
54364414,2041.01,FP,19.234846,62.35169,1.02,5825.0
269424395,2042.01,FP,350.369407,60.801171,2.16,6535.0
270333769,2044.01,FP,351.880281,61.392515,2.38,9953.0
219821826,2258.01,FP,268.029535,62.79094,1.11,5980.0
47484268,226.01,FP,342.967188,-24.78778,0.334,3396.0
219151731,2483.01,FP,89.835166,-49.469569,1.51,6137.7
282498590,2492.01,FP,90.099738,5.11447,1.49,6519.0
437893926,2771.01,FP,94.017995,15.270666,2.02,6733.4
36574157,2775.01,FP,102.412686,-0.495979,0.81,5112.0
319735319,2779.01,FP,99.678448,2.43106,1.51,6570.0
363761216,2047.01,FP,5.867146,71.158807,1.14,5887.0
1100766816,2052.01,FP,238.501017,19.596887,1.01,5016.1
315755496,2053.01,FP,310.331372,82.435302,5.2787499,4772.0
378355116,2054.01,FP,358.248392,60.481667,2.08,8124.0
326732851,2058.01,FP,359.678289,62.625907,4.96,4963.0
