tic_id,sector,ra,dec,st_rad,st_rad_err,st_mass,st_mass_err,st_teff
464314542,104,280.01303060815,-64.7257298321873,3.2391,0.13191,2.05,0.318145,8323.0
158060053,104,280.241183814284,-50.8759493662952,0.343353,0.010802,0.326525,0.0205998,3474.0
340106897,104,280.422271965352,-46.5965971024228,0.848282,0.0455654,0.96,0.122723,5477.16
1989646927,104,314.667856614468,-51.9574609255819,,,,,
33542596,104,266.805005371419,-43.3626916532527,0.660598,0.0196426,0.635011,0.0202891,3368.0
355335662,104,297.096150379893,-50.6175899346764,0.836555,0.0428392,0.99,0.124749,5601.0
341309049,104,315.958147257626,-65.1993380526603,27.2669,,,,4192.0
80315364,104,8.30628758272798,-47.5545879700438,0.159724,0.00479733,0.131009,0.0200346,2953.0
261462443,104,334.706914572233,-68.3130960617977,1.45536,0.0769372,1.09,0.144997,5948.45
368474784,104,267.820749421453,-39.5981186813044,0.581006,0.0178809,0.572308,0.0206654,3297.0
2026328978,104,331.202721022434,-65.6515694763373,,,,,
118826478,104,11.1320830306225,-37.8299788499079,0.788537,0.0402161,0.95,0.124951,5441.0
404777477,104,278.629660540205,-52.8915224435829,19.3008,,,,4473.0
220490418,104,344.274401205465,-57.401169389493,,,,,
160188131,104,6.49818056578917,-46.9741004659912,30.3872,,,,4194.0
218573570,104,262.902704652448,-47.8733099718038,21.6921,,,,4399.0
2026258256,104,327.203203505475,-68.7760561993039,,,,,
370134610,104,307.119228440082,-58.6158008770759,1.86852,0.107322,0.99,0.131068,5599.0
412823483,104,263.08046147861,-51.4323909517656,0.381833,0.0119837,0.370835,0.020701,3412.0
230946694,104,287.011535063708,-56.0128571512768,0.538112,0.0160088,0.534437,0.0203035,3674.0
2026761072,104,326.850017054306,-57.4356918609657,,,,,
325177252,104,340.571184350995,-67.8334757515076,2.60863,0.0836055,2.15,0.310413,8607.0
21466050,104,267.636389706811,-42.2415107075267,0.22686,0.00970108,0.196265,0.0213429,2950.0
616436730,104,4.44591453449558,-42.7831065759944,,,,,
234996933,104,350.696363378541,-62.4083015490993,1.62211,0.0893971,1.27,0.211939,6375.7
166317799,104,296.149467297215,-51.4399503950296,23.4349,,,,4358.0
321067502,104,44.2889216653263,-36.7198834792092,2.25612,0.121841,0.93,0.115553,5354.2
123254982,104,28.2424517997642,-34.6490914850021,1.42815,0.0636859,1.24,0.192123,6311.3
75221337,104,266.773138001052,-59.1611674107419,2.49315,0.0885077,1.76,0.300981,7588.0
1924161836,104,297.862878574423,-48.9128606774084,,,,,
76389306,104,269.564684440142,-56.423572556815,1.44633,,0.98,,5568.0
631877493,104,39.4214484823149,-39.3500826568157,,,,,
464653914,104,288.098502231625,-62.7757665293512,0.143,0.05,0.47,0.03,34000.0
382270505,104,287.156351775101,-67.4641135400798,0.369144,0.0429584,0.356286,0.051863,3342.0
156077913,104,10.89941661303,-50.9765834326881,3.0522,0.130703,1.38,0.228087,6603.0
220369051,104,308.305300973087,-58.112348185157,2.54116,0.117136,1.09,0.139521,5960.44
422044019,104,301.896209240603,-55.016014571673,1.06383,0.0433718,1.2,0.174076,6215.04
1988092596,104,305.541898671049,-72.2885385966549,,,,,
219303172,104,315.135177262307,-54.9199631129143,20.8485,,,,4428.0
406275712,104,325.717296244069,-63.2172434170409,0.856604,0.0530452,0.96,0.120625,5482.88
97381267,104,265.899044301999,-48.0670414810619,0.173244,0.0121686,0.143371,0.0224954,3275.0
79394646,104,319.966628164539,-53.4494235109697,1.64114,0.0527236,2.01,0.3083,8213.0
277649549,104,329.04086846329,-60.2294480355023,1.88436,0.0832613,1.38,0.221896,6607.0
111728891,104,269.226716156338,-35.9052468155958,8.39724,,,,4973.0
101992312,104,15.5187059906593,-47.3906833003349,1.10773,0.05201,1.22,0.186157,6254.9
234295610,104,357.983199277843,-64.7929308326401,0.378005,0.0113031,0.366455,0.0202742,3161.0
