host,label,status,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,elapsed_s
BD-06_1339,1,Success,1.7926179473808762e-07,2.7552764156726953e-05,5.928136998178957e-06,,31.37785479100421
BD-08_2823,1,Success,3.187463584273252e-07,0.0001412767604169,7.088430075574692e-06,0.4117624793453477,26.742618084012065
BD-10_3166,1,Success,7.249404656350604e-07,0.0002360554315142,1.643651734517526e-05,,38.44492179196095
BD-11_4672,1,Success,3.4645923594658253e-07,0.0002140836593314,1.5306871780196296e-05,,35.80327641702024
BD-13_2130,1,Success,6.060708254327209e-07,0.0001840719344086,9.67313853579288e-05,0.7744218669232422,42.037556166993454
BD-14_3065_A,1,Success,1.8711451213187896e-06,0.000407865529089,-0.0004461273701366,,45.70117133297026
BD-210397,1,Success,2.1838884708029725e-07,0.0002297642785929,4.040865917209757e-06,,25.81519033299992
BEBOP-3,1,Success,3.29768708712154e-07,0.0010280011303931,-2.535041370710367e-05,-1.314830728222799,39.08189700002549
BEBOP-4_A,1,Success,4.276442211048584e-07,0.0003183386012247,2.150630470298953e-05,,30.786770791979507
Barnard's_star,1,Success,2.7691630971445776e-07,5.3395438608583785e-05,2.2089669600156014e-06,,119.6708416249603
CD-35_2722,1,Success,2.5487317931303404e-06,0.0054394380927891,1.0519334495251442e-05,-0.7354251588765256,29.566142625000793
CD_Cet,1,Success,2.6426983745090977e-06,0.0004691112133763,-2.7808975993970364e-05,,37.62734000000637
CI_Tau,1,Success,0.000108445568606,0.0016121901654814,0.0010806112421604,0.0108983635593653,32.93915966595523
COCONUTS-2_A,1,Success,2.6377820847257164e-06,0.0009814932819782,0.0001745732323962,-0.4115241641390034,21.248949542001355
CT_Cha,1,Success,2.0835247131659903e-05,0.0018878013823942,0.0018278589777239,,27.169509042054415
CoRoT-1,1,Success,6.236379507761418e-05,0.0013125884364008,0.0051957336629457,-3.7294171311499618,34.83324874995742
CoRoT-10,1,Success,0.000297981052381,0.0065739473930322,0.0013858951124454,,35.189164165989496
CoRoT-11,1,Success,5.600910336252728e-05,0.0018268551454382,-0.0007415694188983,0.8282903751533635,39.02018750004936
CoRoT-12,1,Success,0.001876506930652,0.0035461114298057,-0.0006434967492812,-0.5293574064879067,37.989773874985985
CoRoT-13,1,Success,0.0005961615626633,0.0020159937956172,0.0001681739049628,-0.0635010328726862,38.97564741701353
