hostname,pl_name,ra,dec,st_rad,st_teff,st_mass
Kepler-231,Kepler-231 b,293.9733913,50.531846,0.49,3767.0,0.58
Kepler-1142,Kepler-1142 b,292.7144796,44.0822816,0.96,5685.0,0.97
HD 169830,HD 169830 b,276.9561859,-29.8167919,1.935709,6300.0,1.17
Kepler-548,Kepler-548 b,299.9059167,45.4396103,0.9,5535.0,0.93
GJ 9404,GJ 9404 b,184.8472095,28.3827126,0.626041,3811.0,0.62
K2-226,K2-226 b,183.6456643,-9.5626286,0.889,5288.0,0.856
HD 190228,HD 190228 b,300.7537294,28.3065564,2.58658,5360.0,1.415
Kepler-1495,Kepler-1495 b,286.1306907,38.7795494,1.04,5831.0,1.03
Kepler-159,Kepler-159 c,297.0702037,40.868734,0.663,4625.0,0.628
Kepler-1014,Kepler-1014 b,285.1219875,44.1105331,0.84,5388.0,0.88
KMT-2017-BLG-2509L,KMT-2017-BLG-2509L b,265.589875,-26.31715,,,0.46
Kepler-1122,Kepler-1122 b,288.2805801,46.3408747,0.89,5544.0,0.92
TOI-4443,TOI-4443.01,274.2686643,21.9095459,1.01733,5834.0,1.049133
HD 100655,HD 100655 b,173.7653631,20.441541,10.06,4891.0,2.28
Kepler-1730,Kepler-1730 b,281.9605834,43.7030386,1.142,5942.0,1.009
Kepler-150,Kepler-150 d,288.2341025,40.520897,0.939,5560.0,0.956
Kepler-248,Kepler-248 c,293.0613138,43.5813577,0.831,5190.0,0.838
HD 285507,HD 285507 b,61.755663,15.3349441,0.69,4503.0,0.82
Kepler-1047,Kepler-1047 b,288.6462564,50.7889645,1.13,5754.0,1.08
GJ 3138,GJ 3138 c,32.2977385,-16.3392495,0.5,3717.0,0.681
Kepler-55,Kepler-55 b,285.1683291,44.0264898,0.58,4362.0,0.62
HD 116029,HD 116029 b,200.1646905,24.6484725,4.89,4819.0,0.83
HD 37605,HD 37605 c,85.0074276,6.0595116,0.91,5329.0,0.94
Kepler-1184,Kepler-1184 b,291.282031,46.9659514,1.07,5983.0,1.05
TOI-1266,TOI-1266 c,197.9965833,65.8336973,0.4232,3563.0,0.437
