host,status,t_search,t_download,search_method,n_sectors_downloaded
TIC_402593209,I/O operation on closed file.,,,,
TIC_310515887,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026086090000-s0102-0000000310515887-0304-a_fast/tess2026086090000-s0102-0000000310515887-0304-a_fast-lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_360453362,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000360453362-0303-s/tess2026060005000-s0101-0000000360453362-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_2026229140,Success,0.7429512499948032,14.368017499975394,tic_id_spoc,3.0
TIC_300316029,Success,0.459693040989805,12.742434249958023,tic_id_spoc,3.0
TIC_350572362,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026111101500-s0103-0000000350572362-0305-s/tess2026111101500-s0103-0000000350572362-0305-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_351181774,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000351181774-0303-s/tess2026060005000-s0101-0000000351181774-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_331753560,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026111101500-s0103-0000000331753560-0305-s/tess2026111101500-s0103-0000000331753560-0305-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_380838154,I/O operation on closed file.,,,,
TIC_466095211,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000466095211-0303-s/tess2026060005000-s0101-0000000466095211-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_343448758,I/O operation on closed file.,,,,
TIC_363873149,Timed out after 45s,,,,
TIC_451463754,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026111101500-s0103-0000000451463754-0305-s/tess2026111101500-s0103-0000000451463754-0305-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_350852989,I/O operation on closed file.,,,,
TIC_1988576229,Success,0.5492120829876512,17.68757208297029,tic_id_spoc,3.0
TIC_403269435,I/O operation on closed file.,,,,
TIC_310051715,I/O operation on closed file.,,,,
TIC_465765802,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000465765802-0303-s/tess2026060005000-s0101-0000000465765802-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1816012436,Success,0.6015525410184637,15.766287333972286,tic_id_spoc,3.0
